rank,domain,outlet,type,scope,retired_on,reason,detail,stored_articles,last_feed_method,last_feed_url,last_feed_notes,logo_url_aug2026,hotlink_ok_aug2026
1,abv.bg,ABV (Nova/Netinfo),portal+news,national,2026-08-26,portal_not_newsroom,redirects to home.abv.bg webmail; never a newsroom,0,portal_not_newsroom,https://abv.bg/,redirects_to_home.abv.bg_webmail_login_landing_page_not_a_newsroom_no_feed_attempted,https://img.abv.bg/abvmobile/i/ABV_icon_144x144_v2.png,
11,trud.bg,Труд,newspaper,national,2026-08-26,blocked_captcha,"interactive Cloudflare challenge; solving one is off limits, so this is permanent unless the site changes",0,blocked_captcha,https://trud.bg/,cloudflare_turnstile_interactive_checkbox_shown_not_completed_per_policy,https://trud.bg/frontend/images/favicon/apple-icon-57x57.png,
12,novini.bg,Novini.bg,aggregator,national,2026-08-26,no_article_text,aggregator; the Next.js app returns an empty NEXT_HTTP_ERROR_FALLBACK shell to every client while its sitemap lists dated articles perfectly,0,robots_sitemap,https://novini.bg/sitemap/news/index.xml,sitemap_news_index_xml_lists_dated_articles_correctly_but_pages_are_client_side_rendered_next_js_shells_NEXT_HTTP_ERROR_FALLBACK_no_server_html_plain_http_client_gets_nothing_saving_needs_browser_tier_headline_listing_only,https://novini.bg/assets/images/logos/logo.png,
19,btvnovinite.bg,bTV Новините,TV news,national,2026-08-26,blocked_captcha,interactive Cloudflare challenge,0,blocked_captcha,https://btvnovinite.bg/,cloudflare_turnstile_interactive_checkbox_shown_not_completed_per_policy,https://bravo.btv.bg/web/bmg.png,
27,telegraph.bg,Телеграф,tabloid newspaper,national,2026-08-26,broken_sitemaps,every sitemap-index child returns HTTP 500 and there is no RSS,0,robots_sitemap,https://telegraph.bg/sitemap.xml,sitemap_index_children_return_http_500_latest_news_and_category_xxx_both_probed_directly_no_rss_feed_feed_rss_xml_404_index_root_itself_lists_only_section_urls_so_gate_rejects_all_dead_feed_as_of_2026-08-22_needs_browser_tier_or_upstream_fix,https://m.netinfo.bg/telegraph/images/logo_meta.png,
42,afera.bg,Афера,news,national,2026-08-26,blocked_captcha,interactive Cloudflare challenge,0,blocked_captcha,https://afera.bg/,cloudflare_turnstile_interactive_checkbox_shown_not_completed_per_policy,,
48,svobodnoslovo.eu,Свободно слово,news,national,2026-08-26,bot_refused,403s an identified bot and 200s a browser string. Respecting that is the point of having an honest identity; do NOT re-add it behind a spoofed user-agent,98,robots_sitemap,https://svobodnoslovo.eu/sitemap/index.xml,sitemap_xml_confirmed,,
51,novavarna.net,Нова Варна,regional,Varna,2026-08-26,bot_refused,403s an identified bot and 200s a browser string. Respecting that is the point of having an honest identity; do NOT re-add it behind a spoofed user-agent,104,robots_sitemap,https://novavarna.net/sitemap_index.xml,sitemap_xml_confirmed,https://novavarna.net/wp-content/uploads/2025/03/NovaVarnaLogo3cdr.png,no
53,struma.bg,Струма,regional newspaper,Blagoevgrad,2026-08-26,blocked_captcha,interactive Cloudflare challenge,0,blocked_captcha,https://struma.bg/,cloudflare_turnstile_interactive_checkbox_shown_not_completed_per_policy,https://struma.bg/wp-content/uploads/2016/12/struma_logo_small.jpg,
62,bgnes.com,БГНЕС,agency,national,2026-08-26,duplicate_outlet,"serves the ENGLISH edition by default; the Bulgarian one is bgnes.bg, which remains in the registry",0,browser_render_scrape,https://bgnes.com/,default_serves_the_ENGLISH_edition_bulgarian_edition_is_separate_domain_bgnes_bg_browser_harvest_of_article_links_works_on_bgnes_bg_articles_plain_http_200_corpus_saved_under_bgnes_bg_2026-08-22,https://www.bgnes.bg/static/images/bgnes-logo.svg,
67,bivol.bg,Биволъ,investigative,national,2026-08-26,broken_sitemaps,the Jetpack sitemap tree exceeds even a 300s descent and its dates are stuck at 2010-2015 on an actively published site,0,robots_sitemap,https://bivol.bg/sitemap.xml,sitemap_xml_confirmed_but_lastmod_dates_across_the_whole_tree_are_stale_2010_2015_jetpack_generator_not_reliable_for_recency_fetch_script_self_detects_and_flags_this_as_stale_source_suspected,https://bivol.bg/wp-content/uploads/2016/01/cropped-bivol-logo-400x180y.png,
