"Име","Дата на дарение","Парични средства","Непарични средства","Цел"
"Георги Кадиев","","36310.00","0.00",""
"Иван Кирилов","","2376.00","0.00",""
"Валентин Иванов","","300.00","0.00",""
"Иглика Мишева-Брусева","","800.00","0.00",""
"Юлиян Ненчев","","816.00","122.47",""
"Николай Андонов","","800.00","0.00",""
"Мая Манолова- Найденова","","7970.00","2115.00",""
"Илиан Василев","","950.00","950.00",""
"Десислава Трифонова","","600.00","1337.00",""
"Силвия Димитрова","","4480.00","0.00",""
"Александър Кръстев","","600.00","0.00",""
"Кремена Петрова","","200.00","0.00",""
"Иван Тодоракев","","950.00","0.00",""
"Кета Лефтерова","","670.00","280.00",""
"Невена Петрова","","10300.00","0.00",""
"Димитър Караджов","","0.00","1360.00",""
"Мими Караколева","","0.00","1550.00",""
"Владимир Вълков","","0.00","293.47",""
"Стоян Желязков","","0.00","900.00",""
"Ивомира Кефалова","","0.00","900.00",""
"Теодора Ненкова","","0.00","900.00",""
"Симеон Миланов","","0.00","360.00",""
"Светослав Велков","","0.00","600.00",""
"Стефан Стефанов","","0.00","1964.00",""
"Минчо Афузов","","0.00","3000.00",""
"Атанас  Делибатов","","0.00","500.00",""
"Миглена Атанасова","","0.00","260.00",""
"","Сума:","68 122.00 лв.","17 391.94 лв.",""
