"Име","Дата на дарение","Парични средства","Непарични средства","Цел"
"Айтен Сабри","","20000.00","0.00",""
"Атидже Алиева-Вели","","60000.00","0.00",""
"Байрам Байрам","","50000.00","0.00",""
"Джем Яменов","","20000.00","0.00",""
"Димитър  Аврамов","","40000.00","0.00",""
"Дин Онбаши","","10000.00","0.00",""
"Едиз-Ханиф Саидов","","60000.00","0.00",""
"Елван Гюркаш","","20000.00","0.00",""
"Ерол Мюмюн","","50000.00","0.00",""
"Ертен Анисова","","10000.00","0.00",""
"Иво Цанев","","40000.00","0.00",""
"Искра Михайлова-Копарова","","60000.00","0.00",""
"Йордан Цонев","","60000.00","0.00",""
"Надя  Петрова","","20000.00","0.00",""
"Небие Кабак","","60000.00","0.00",""
"Неждет Шабан","","10000.00","0.00",""
"Николай Златарски","","60000.00","0.00",""
"Станислав Анастасов","","25000.00","0.00",""
"Фатима Йълдъс","","20000.00","0.00",""
"Халил Летифов","","20000.00","0.00",""
"Хамид Хамид","","40000.00","0.00",""
"Хюсеин Хафъзов","","10000.00","0.00",""
"Цветан Енчев","","10000.00","0.00",""
"Шендоан Халит","","10000.00","0.00",""
"","Сума:","785 000.00 лв.","0.00 лв.",""
